,fea_item_id,fea_name,fea_customer_id,fea_rating_y,fea_content_1,fea_content_2
0,48102821,tai nghe bluetooth inpods 12 cảm_biến vân tay chống nướcmàu sắc đa_dạng 5 màu_sắc lựa_chọn,159465,4,ưu_điểm rẻ đẹp màu cũng đẹp đeo vừa tai_nghe nhạc liên_tục 1 tiếng tốn khoảng 1 pinnhược điểm1 có tờ hướng_dẫn sử_dụng nhưng chỉ đúng 1 phần tai t nhấn 1 lần là pauseplay nhấn giữ là next tai p nhấn 1 lần là pauseplay nhấn giữ là previous2 cách bật tắt tai_nghe và sạc pin hơi phức_tạp mở bấm_nút sau lưng lấy ra khỏi hộp bật bluetooth kết_nối rồi đeo vài tai tắt tắt bluetooth gắn tai_nghe vào hộp nhấn giữ tai_nghe từng bên đến khi tắt hết đèn là đc sạc ko hiểu sao hộp sạc của mình sáng đèn cả đêm nhưng ko sạc vô pin chỉ có cắm dây trực_tiếp vào ổ điện mới sạc được3 lúc nhấn giữ nó sẽ kêu beeeeeeeeep nghe nhiều lần rất đau tai do âm_thanh lớn dù đã chỉnh volume phù_hợp để nghe nhạc4 còn khoảng 7 pin thì tai_nghe bên trái sẽ tự_động tắt bật lên cũng sẽ tự tắt tiếp,ưu_điểm rẻ đẹp màu đẹp đeo tai_nghe nhạc liên_tục 1 tiếng tốn 1 pinnhược điểm1 tờ hướng_dẫn 1 tai t nhấn 1 pauseplay nhấn next tai p nhấn 1 pauseplay nhấn previous2 bật tắt tai_nghe sạc pin hơi phức_tạp bấm_nút lưng hộp bật bluetooth kết_nối đeo tai tắt tắt bluetooth gắn tai_nghe hộp nhấn tai_nghe tắt đèn đc sạc ko hộp sạc đèn đêm ko sạc vô pin cắm dây ổ điện sạc được3 nhấn kêu beeeeeeeeep đau tai âm_thanh chỉnh volume nhạc4 7 pin tai_nghe trái tự_động tắt bật tắt tiếp
1,48102821,tai nghe bluetooth inpods 12 cảm_biến vân tay chống nướcmàu sắc đa_dạng 5 màu_sắc lựa_chọn,16122994,5,hàng chất_lượng nên mua nhaaa mình đặt màu xanh_lá cây mà shop giao màu xanh_dương mà nghe tốt với tầm giá_như này có tiền thì mua cái 23 triệu mà đây bạn muốn sỡ hữu 1 cái như này ngại gì không mua kết_nối rất dễ_dàng không có lúa thì mua như mình có lúa thì mua 23 triệu nha,hàng chất_lượng mua nhaaa màu xanh_lá shop giao màu xanh_dương tốt tầm giá_như tiền mua 23 triệu sỡ hữu 1 ngại không mua kết_nối dễ_dàng không lúa mua lúa mua 23 triệu nha
2,48102821,tai nghe bluetooth inpods 12 cảm_biến vân tay chống nướcmàu sắc đa_dạng 5 màu_sắc lựa_chọn,18720987,2,tôi đặt sp sáng nay và trưa có liềnnhưng vấn_đề là sp không dùng đượctôi là tài_xế gojexsp như vậy là không chấp_nhận đượctiki có_thể can_thiệp với shop thu_hồi sp lại được khôngsp bị lỗi là nói_chuyện qua điện_thoại hay coi youtube không đượcrất mong tiki xử_lý và thu_hồi,sp trưa liềnnhưng sp không đượctôi tài_xế gojexsp không chấp_nhận đượctiki can_thiệp shop thu_hồi sp khôngsp lỗi nói_chuyện điện_thoại coi youtube không đượcrất mong tiki thu_hồi
3,48102821,tai nghe bluetooth inpods 12 cảm_biến vân tay chống nướcmàu sắc đa_dạng 5 màu_sắc lựa_chọn,19631063,4,sản_phẩm okđẹp nên kèm thêm hướng_dẫn bằng tiếng việt nữa để dễ sử_dụng pin thì sử_dụng không được lâu lắm giao hàng thì ok góp_ý nho_nhỏ,sản_phẩm okđẹp kèm hướng_dẫn tiếng việt pin không lắm giao hàng ok góp_ý nho_nhỏ
4,48102821,tai nghe bluetooth inpods 12 cảm_biến vân tay chống nướcmàu sắc đa_dạng 5 màu_sắc lựa_chọn,1269974,3,mẫu_mã như hình chụp bluetooth bắt hơi yếu hay bị đứt_quãng bữa nào stress mà gặp tình_trạng này chắc stress hơn nhìn_chung vẫn sử_dụng được giá như thế_này với chất_lượng này thì cũng đượccách điều_khiển tai nghe hơi phức_tạp tới giờ vẫn chưa hiểu được hết cách_thức hoạt_động,mẫu_mã hình chụp bluetooth bắt hơi yếu đứt_quãng bữa stress stress giá thế_này chất_lượng đượccách điều_khiển tai hơi phức_tạp cách_thức hoạt_động
5,48102821,tai nghe bluetooth inpods 12 cảm_biến vân tay chống nướcmàu sắc đa_dạng 5 màu_sắc lựa_chọn,12671592,5,sản_phẩm đẹp sử_dụng tốt đóng_gói kĩ giao hàng nhanh có dây sạc đầy_đủ còn về chất_lượng thì dùng lâu_dài mới biết nhưng về mặt hình_thức mình cho 5 sao,sản_phẩm đẹp tốt đóng_gói kĩ giao hàng dây sạc đầy_đủ chất_lượng lâu_dài mặt hình_thức 5
6,48102821,tai nghe bluetooth inpods 12 cảm_biến vân tay chống nướcmàu sắc đa_dạng 5 màu_sắc lựa_chọn,20139209,3,tai nghe nhỏ gọn chất_lượng âm_thanh cũng ổn nhưng mình mua về chỉ nghe được mỗi bên trái bên phải không nghe được chiếc bên phải coi như làm_kiểng thôi á hay_là có cách nào đó để chỉnh cho tai_nghe bên phải nghe được mong được tiki hỗ_trợ,tai gọn chất_lượng âm_thanh ổn mua trái không coi làm_kiểng chỉnh tai_nghe mong tiki
7,48102821,tai nghe bluetooth inpods 12 cảm_biến vân tay chống nướcmàu sắc đa_dạng 5 màu_sắc lựa_chọn,740905,1,hàng mua trả trước vậy mà mua về ko sài được tai_nghe không kết_nối đc bluetooh chán ko_thể tả nỗi ko biết làm cách nào để liên_lạc đc với shop rất tệ mn ko nên mua đồ shop này tiki xem lại shop nhé cám_ơn,hàng mua mua ko sài tai_nghe không kết_nối đc bluetooh chán ko_thể tả nỗi ko liên_lạc đc shop tệ mn ko mua đồ shop tiki shop cám_ơn
8,48102821,tai nghe bluetooth inpods 12 cảm_biến vân tay chống nướcmàu sắc đa_dạng 5 màu_sắc lựa_chọn,16484419,4,tai nghe màu rất đẹpcó rất nhiều chức_năng như ấn vào tai_nghe 1 cái thì nhạc dừng ấn 2 cái bên phải thì tăng_âm lượngbên trái thì giảm âm lượngấn 3 cái thì mở lạiấn 4 cái thì chuyển bài nhạc khác,tai màu đẹpcó chức_năng ấn tai_nghe 1 nhạc dừng ấn 2 tăng_âm lượngbên trái âm lượngấn 3 lạiấn 4 nhạc
9,48102821,tai nghe bluetooth inpods 12 cảm_biến vân tay chống nướcmàu sắc đa_dạng 5 màu_sắc lựa_chọn,19616271,5,có mua sp này 2 lần trước_đây có thấy vài trục_trặc nhỏ nhưng giá quá rẻ nên cũng không cần đòi_hỏi gắt quá nghe tốt là được rồi lần này mua tiếp cái thứ 3 thì chất_lượng rất tuyệt chắc là mình hên,mua sp 2 trục_trặc giá rẻ không đòi_hỏi gắt tốt mua tiếp 3 chất_lượng tuyệt hên
10,48102821,tai nghe bluetooth inpods 12 cảm_biến vân tay chống nướcmàu sắc đa_dạng 5 màu_sắc lựa_chọn,5440297,4,kết_nối bluetooth tốt nhanh cảm_ứng không được tốt hay bị giật khi còn 7 pin âm_thanh không có độ bassvới mức giá này sản_phẩm ok,kết_nối bluetooth tốt cảm_ứng không tốt giật 7 pin âm_thanh không độ bassvới giá sản_phẩm ok
